英語,日本語
"Udaijin (minister of the right), SUGAWARA no Michizane",右大臣菅原道真
"Udaijin (Minister of the Right), KIYOHARA no Natsuno",右大臣清原夏野
"Udaijin (Minister of the Right), FUJIWARA no Morosuke",右大臣藤原師輔
"Udaijin (Minister of the Right), FUJIWARA no Sadakata",右大臣藤原定方
"Udaijin (Minister of the Right), FUJIWARA no Yoshimi/Yoshiau",右大臣藤原良相
Udaijin (Minister of the Right). Kinito TOKUDAIJI,右大臣徳大寺公純
Migi-daimonji (right of Daimonji),右大文字
Udaiben (Major Controller of the Right),右大弁
Retained his position as Udaiben,右大弁如元
Uchujo (Middle Captain of the Right Division of Inner Palace Guards) ,右中将
Uchuben (Middle Controller of the Right),右中弁
Hiroaki MIGITA (Sueaki SUE),右田弘詮（陶弘詮）
Umanosuke,右馬允
Uma no gon no kami  (Provisional Captain of the Right Division of Bureau of Horses),右馬権頭
"Umanosuke (Asst. Captain, Right Division of Bureau of Horses)",右馬助
Uma no kami (Captain of the Right Division of Bureau of Horses),右馬頭
Umaryo gogen (Inspector of the Right Division of Bureau of Horses),右馬寮御監
paralysis on his right side,右半身不随
Yuhitsu (amanuensis),右筆
yuhitsukata,右筆方
Ufu,右府
Umai (dance in the right-side),右舞
U-hyoenokami,右兵衛尉
Uhyoe no Gon no suke (provisional assistant captain of the Right Division of Middle Palace Guards),右兵衛権佐
Uhyoe no suke (assistant captain of the Right Division of Middle Palace Guards),右兵衛佐
Uhyoe no kami (Captain of the Right Division of Middle Palace Guards),右兵衛督
Right Division of Middle Palace Guards,右兵衛府
Uhomai Dance,右方舞
"ubokuya (udaijin, or mister of the right)",右僕射
spearhead of the right wing,右翼先鋒
right attendant figure Seji Bosatsu (Bodhisattvas),右脇侍勢至菩薩
Ukanomitama-no-Mikoto (Uganomitama),宇迦之御魂神
Uganomitama no Okami,宇賀御霊大神
Ukahongo Station,宇賀本郷駅
Kazushige UGAKI,宇垣一成
Ukita,宇喜多
Ukita clan,宇喜多氏
Hideie UKITA,宇喜多秀家
Hideie UKITA,宇喜田秀家
Usa,宇佐
Usazukai,宇佐使
Usa City,宇佐市
Usa-jingu Shrine,宇佐神宮
Usa Hachiman-gu Shrine,宇佐八幡宮
a plot of Usa Hachiman-gu oracle,宇佐八幡宮神託事件
Usahachiman-shin,宇佐八幡神
Uji,宇治
Uji Station,宇治 (駅)
Uji Tunnel,宇治トンネル
UJI no Akusafu,宇治の悪左府
Uji no sencha (green tea of middle grade),宇治の煎茶
Uji no Hachi no Miya no Oigimi,宇治の八の宮の大君
Uji Station,宇治駅
Manpuku-ji Temple on Mt. Obaku in Uji,宇治黄檗山萬福寺
Iehiko UJI,宇治家彦
Uji Kaisoku Rapid Service,宇治快速
Uji-bashi Bridge,宇治橋
Ujibashi Oharai Machi,宇治橋おはらい町
Ujibashishuzo Kikoshiki,宇治橋修造起工式
Ujibashi Danbi Monument,宇治橋断碑
Ujibashi-dori Steet,宇治橋通り
Ujibashi Watarihajimeshiki,宇治橋渡始式
Ujibashi Watariosameshiki,宇治橋渡納式
Ujibashimandonusa Hogeshiki,宇治橋萬度麻奉下式
Uji County,宇治郡
Uji-Gokasho Post Office,宇治五ヶ庄郵便局
Uji ｇosho,宇治御所
the battle of Uji,宇治合戦
Uji-sadaijin(minister of the left),宇治左大臣
Uji Safu(the minister of the left),宇治左府
Uji City,宇治市
Uji City Tourist Association,宇治市観光協会
The Tale of Genji Museum,宇治市源氏物語ミュージアム
Uji City Botanical Park/Uji City Botanic Garden,宇治市植物公園
Uji City Culture Center,宇治市文化センター
Uji CIty Hall,宇治市役所
Ogura Elementary School,宇治市立小倉小学校
"Okubo Elementary School, Uji City",宇治市立大久保小学校
Uji Municipal Higashiuji Junior High School,宇治市立東宇治中学校
"Rokujizo, Uji City",宇治市六地蔵
Uji-shako Depot,宇治車庫
Uji Shui Monogatari (a collection of the Tales from Uji),宇治拾遺物語
Uji jujo (The Ten Quires of Uji),宇治十帖
Uji 12 beauty spots,宇治十二景
Uji yaki,宇治焼
Ujigami-jinja Shrine,宇治上神社
Uji-jinja Shrine,宇治神社
Ujinishi Interchange,宇治西IC
Ujinishi Interchange,宇治西インターチェンジ
Uji Tax Office,宇治税務署
Uji-gawa River,宇治川
The battle of Uji-gawa River,宇治川の戦い
Uji-gawa River Fireworks Display,宇治川花火大会
Uji-gawa Bridge,宇治川橋梁
Ujigawa Collection,宇治川集
Uji Line,宇治線
Uji Line Uji station,宇治線宇治駅
Ujitaisho monogatari (The Tale of Uji General),宇治大将物語
Uji no dainagon (chief councilor of state of Uji),宇治大納言
"MINAMOTO no Takakuni, Uji Dainagon",宇治大納言源隆国
Ujidainagon monogatari (The Tale of Uji Dainagon chief councilor),宇治大納言物語
Uji cha (tea),宇治茶
Uji-cho,宇治町
Uji-dono,宇治殿
Ujitawara Town,宇治田原
Ujitawaraoyuyatani Village,宇治田原郷湯屋谷村
Ujitawara Jidosha,宇治田原自動車
Ujitawara-cho,宇治田原町
Uji Todo Post Office,宇治菟道郵便局
Ujihigashi Interchange,宇治東IC
the family of Count Uji,宇治伯爵家
Uji Hachi no Miya (the Eighth Prince),宇治八の宮
Uji Bancha (coarse tea),宇治番茶
Uji bunka center (Uji city culture center),宇治文化センター
Uji Byodoin,宇治平等院
Uji-no-Minbu-kyo,宇治民部卿
Uji Kohata,宇治木幡
Uji-Kowata Post Office,宇治木幡郵便局
Uji Post Office,宇治郵便局
the Uji-Yodo line,宇治淀線
Uji no misasagi (the Uji Mausoleum),宇治陵
No. 36 tomb at Uji imperial mausoleum,宇治陵第36号墳墓
Ujiji,宇治路
Ukawa-onsen Hot Spring,宇川温泉
Uso-gawa River,宇曽川（うそがわ）
Uda,宇多
ex-Emperor Uda,宇多院
Uda-Genji (Minamoto clan),宇多源氏
Sasaki clan of Uda-Genji (Minamoto clan),宇多源氏佐々木氏
the Retired Emperor Uda,宇多上皇
Utazu,宇多津
Utazu-cho,宇多津町
Emperor Uda,宇多天皇
the Emperor Uda's Nyogo (wife),宇多天皇女御
Cloistered Emperor Uda,宇多法皇
Utano,宇多野
Utano Station,宇多野駅
Utanokisshoin Route,宇多野吉祥院線
Udano Sanpo-ji Temple,宇多野三宝寺
Yoritada UDA,宇多頼忠
Uda region,宇陀
Uda County,宇陀郡
Uda City,宇陀市
uda-gami (uda paper),宇陀紙
the Uda-Matsuyama Domain,宇陀松山藩
Uda-gawa River,宇陀川
Udagawa Dam,宇陀川ダム
Japan Aerospace Exploration Agency,宇宙航空研究開発機構
Uzu,宇津
Uzune,宇津根
Uzune-hashi Bridge,宇津根橋
Utsune-cho,宇津根町
Uzu clan,宇津氏
Utsuho monogatari (The Tale of the Hollow Tree),宇津保物語
Sakon UTSUGI,宇津木左近
Tekison UDA,宇田荻邨
Utago Station,宇田郷駅
Kanehisa UTSUNOMIYA,宇都宮懐久
Mototsuna UTSUNOMIYA,宇都宮義綱
Kageyasu UTSUNOMIYA (later Sadayasu),宇都宮景泰（後の貞泰）
Mototsuna UTSUNOMIYA,宇都宮元綱
Utsunomiya City,宇都宮市
the Utsunomiya clan,宇都宮氏
the Utsunomiya clan record,宇都宮氏系譜
branch families of the Utsunomiya,宇都宮氏諸流
Utsunomiya clan group,宇都宮氏流
UTSUNOMIYA Jisshin-bo,宇都宮実信房
Muneyasu UTSUNOMIYA,宇都宮宗泰
Utsunomiya-jo Castle,宇都宮城
the Battle of Utsunomiya-jo Castle,宇都宮城の戦い
Nobufusa UTSUNOMIYA,宇都宮信房
Yasumune UTSUNOMIYA,宇都宮泰宗
Tomotsuna UTSUNOMIYA,宇都宮朝綱
Sadahisa UTSUNOMIYA,宇都宮貞久
Sadatsuna UTSUNOMIYA,宇都宮貞綱
Sadamune UTSUNOMIYA,宇都宮貞宗
Sadayasu UTSUNOMIYA,宇都宮貞泰
Sadakuni UTSUNOMIYA,宇都宮貞邦
Fuyutsuna UTSUNOMIYA,宇都宮冬綱
Toyofusa UTSUNOMIYA,宇都宮豊房
Yoritsuna UTSUNOMIYA,宇都宮頼綱
Yorifusa UTSUNOMIYA,宇都宮頼房
Utsunomiya-ryu school,宇都宮流
Uto County,宇土郡
Uto Domain,宇土藩
Umaki,宇万伎
Hisashige UNO,宇野久重
Uno no mikuriya,宇野御厨
Uno Mondo Nikki (Mondo UNO's diary),宇野主水日記
Sosuke UNO,宇野宗佑
Uno Line (Seto-Ohashi Line),宇野線（瀬戸大橋線）
Uruma no Nikki Diary,宇留満乃日記
Uwa no sho (manor),宇和荘
Uwajima Domain,宇和島藩
Ukaikisho,宇槐記抄
Karasuga-take Mountain,烏ヶ岳
Karasuma,烏丸
the Karasuma business office,烏丸営業所
the Kitano branch of the Karasuma business office,烏丸営業所北野支所
Karasuma Station,烏丸駅
Karasuma family,烏丸家
Karasuma Marutamachi,烏丸丸太町
Karasuma Gojo,烏丸五条
Karasuma-Gojo-dori Street,烏丸五条通
Karasuma Oike,烏丸御池
Karasuma Oike Bus stop,烏丸御池バス停留所
Karasuma Oike Station,烏丸御池駅
Mitsuhide KARASUMARU,烏丸光栄
Mitsukata KARASUMARU,烏丸光賢
Mitsuhiro KARASUMARU,烏丸光広
Mitsunobu KARASUMARU,烏丸光信
Karasuma Exit,烏丸口
"Karasuma-guchi Exit (Kita-guchi, Exit North Exit)",烏丸口（北口）
Transcription written by Mitsuhiro KARASUMARU,烏丸広光筆本
Karasuma Imadegawa,烏丸今出川
Karasuma Sanjo,烏丸三条
Suketo KARASUMA,烏丸資任
Karasuma Shichijo,烏丸七条
Karasuma-Shichijo-agaru,烏丸七条上ル
Karasuma-Shichijo-dori Street,烏丸七条通
Karasuma-shako Depot,烏丸車庫
Karasumaru-Koji Street,烏丸小路
Karasuma Shosho Ayamaro,烏丸少将文麿
Karasuma Line,烏丸線
Karasuma Line Kuramaguchi station,烏丸線鞍馬口駅
Karasuma Line Imadegawa station,烏丸線今出川駅
Karasumaru Dainagon (chief councilor of state),烏丸大納言
Karasuma Central Exit,烏丸中央口
Karasuma Junior High School,烏丸中学校
Karasuma-dori Street,烏丸通
Toyomitsu KARASUMARU,烏丸豊光
Karasuma-Kitaoji crossing,烏丸北大路交差点
Karasuma-Kitaoji-dori Street,烏丸北大路通
Ugubaga-doji,烏倶婆伽（うぐばが）童子
Uro-zu Byobu (folding screen with painting of crows and herons),烏鷺図屏風
Ususama Myoo,烏枢沙摩明王
Karasu-zumo/Crow Sumo (wresling celemony),烏相撲
squid,烏賊
Karasu Tengu,烏天狗
eboshi,烏帽子
eboshioya (a person who put on an eboshi in the case of genpuku ceremony),烏帽子親
Eboshinoushi (court noble's informal costume),烏帽子直衣の貴人
oolong tea,烏龍茶
Karasu-Ryogae-Muro-Koromo,烏両替室衣
Robe of Heaven Room (Hagoromo-no-ma),羽衣（はごろも）の間
Robe of Feathers Legend,羽衣伝説
Habokino City,羽曳野市
"Tsuboi, Habikino City",羽曳野市壷井
Uetsu Shinkansen (line),羽越新幹線
Uetsu Line,羽越線
Uetsu honsen,羽越本線
Haga-ji Temple,羽賀寺
Hago,羽合
Mt. Haguro,羽黒山
Haguro-ryu school,羽黒流
feathers,羽根
Hane-uchiwa (feathered fan),羽根うちわ
Hane-ogi (feathered folding fan),羽根扇
Hane-sensu (feathered folding fan),羽根扇子
Hayamato no kami,羽山戸神（はやまと）
HAMURO Kametaro,羽室亀太郎
HASHIBA,羽柴
Kunimatsu HASHIBA,羽柴 国松
the Hashiba clan,羽柴氏
Hideyoshi HASHIBA,羽柴秀吉
Hideaki HASHIBA (Hideaki KOBAYAKAWA),羽柴秀秋（小早川秀秋）
Hidetoshi HASHIBA,羽柴秀俊
HideKatsu HASHIBA,羽柴秀勝
Hidekatsu HASHIBA (Otsugi),羽柴秀勝（於次）
Togoro HASHIBA,羽柴藤五郎
Ushu Tandai,羽州探題
haori (a Japanese half-coat),羽織
haori scoundrel,羽織ゴロ
haori yakuza,羽織ヤクザ
Haori geisya,羽織芸者
Goro HANI,羽仁五郎
the Hakura family,羽倉家
Hatsukashi-go,羽束郷　（波豆賀之）
Hazukashi-bashi Bridge,羽束師橋
Hazukashi-mura,羽束師村
Haneda,羽田
Haneda Airport Terminal 1Store,羽田空港店
Goro HANEDA,羽田五郎
Haneda bugyo,羽田奉行
"habutae, a smooth, glossy silk cloth with a fine weave",羽二重
"the Urin family, the House of Urin",羽林家
Haboki,羽箒
Uzan,迂山
Masatane AMEMIYA,雨宮正種
Ugetsu (rain and the moon),雨月
emissary of rain and the moon,雨月の使者
Ugetsu Monogatari (Tales of Moon and Rain),雨月物語
amado (wooden shutters constructed at the various openings of a building),雨戸
praying for rain,雨乞い
a prayer for a rainmaking,雨乞の祈祷
AMEMORI Kikutaro,雨森菊太郎
Usei-kai,雨声会
Uchiku-Fuchiku-zu,雨竹風竹図
Uho-in Temple,雨宝院
appraising in a rainy night,雨夜の品定め
"fourth sign of Chinese zodiac (The Hare, 5am-7am, east, February)",卯
Unoha shinji Ritual,卯之葉神事
Myoren-ji Temple on Mt. Uboku,卯木山妙蓮寺
a cormorant,鵜
unokubi-zukuri (cormorant-neck style),鵜の首造り
ukai (cormorant fishing),鵜飼
Onmyo-ji Temple on Mt. Ukai,鵜飼山遠妙寺
the Ukai clan,鵜飼氏
Udono,鵜殿
"second sign of Chinese zodiac (The Ox, 1am-3am, north-northeast, December)",丑
"ushu-no-koku-mairi, worship service at 2 in the morning",丑の刻参り
the day of the Ox (one of the twelve animals of the oriental zodiac),丑の日
northeast,丑寅
born in the years of Ox and Tiger (of the oriental zodiac),丑寅年生まれ
Ushinosuke,丑之助
Sadamitsu USUI,碓井貞光
Usui-toge Pass,碓氷峠
mill-stone,臼
Usui-jo Castle,臼井城
USUKINO,臼杵
Koretaka USUKI,臼杵惟隆
Usuki Gion Matsuri Festival,臼杵祇園まつり
Usuki City,臼杵市
Usuki-jo Castle,臼杵城
a curl,渦線
a whirlpool pattern,渦紋
bai (a circular nail head cover placed over a nail to attach a non-penetrating tie beam to a pillar),唄
Urusan-jo Castle,蔚山城
Urusan Japanese Castle,蔚山倭城
Unagi-no-nedoko,鰻のねどこ
Unagi-onsen Hot Spring,鰻温泉
theresidence of Unagidani,鰻谷邸
"Ubasute-yama, mountain where old women were abandoned",姥捨山
Uba-ishi,姥石
"stable, barn",厩
Umayabashi-jo Castle,厩橋城
Prince Umayado,厩戸皇子
Ura,浦
Urayasu,浦安
Urayasu no Mai Dance,浦安の舞
costume of Urayasu dance,浦安の舞の装束
Urayasu Province,浦安国
Urayasu gara (Urayasu Pattern),浦安柄
Uraura no Wakare (leaving in shores),浦々の別れ
Uraga,浦賀
Uraga bugyo,浦賀奉行
Urado,浦戸
Urasa Station,浦佐駅
"Urasa-Bishamondo bare pushing main festival (Fuko-ji Temple, Minami-Uonuma City)",浦佐毘沙門堂裸押合大祭（南魚沼市 普光寺）
Uranoe clan,浦上（うらのえ）氏
Urakami group,浦上一派
the Uragami clan,浦上氏
Munekage URAGAMI,浦上宗景
Norimune URAGAMI,浦上則宗
Muramune URAGAMI,浦上村宗
Naoki URAKAMI,浦上直置
Sadamune URAGAMI,浦上貞宗
Urakami Domonkai,浦上同門会
Sakae URAKAMI,浦上榮
Urase,浦瀬
taking passage by boat cosetline,浦伝
Urake By-pass,浦明バイパス
Uriwari no Taki Waterfall,瓜割の滝
Uryu,瓜生
the Uryu clan,瓜生氏
Uryuseki (the Cucumber Rock: A Symbol of Encouragement),瓜生石（うりゅうせき）
Uryu-mura,瓜生村
Tamotsu URYU,瓜生保
as like as two peas,瓜二つ
leap September,閏9月
Unan Osho zo,運庵和尚像
canal,運河
Unga,運賀
Unkei,運慶
Unsuke,運助
transportation operation,運送業
transport,運搬
Rose Mansion,運輸課
Ministry of Transport,運輸省
Council for Transport Policy,運輸政策審議会
Kumogahata,雲ヶ畑
Kumogahata-Iwaya-bashi Bridge,雲ヶ畑岩屋橋
Kumogahata-Iwaya-gawa River,雲ヶ畑岩屋川
Kumogahata Office,雲ヶ畑出張所
Kumogahata-gawa River,雲ヶ畑川
Kumogahata Line,雲ヶ畑線
kumo ni hoomaru (clouds with roundly designed phoenixes),雲に鳳凰丸
a pattern of clouds,雲の紋様
Kumogakure  (vanish behind the clouds),雲隠
Kumogakure-ryu school,雲隠流
six folding books of Kumogakure,雲隠六帖
unka-shi (unga-shi),雲華紙
"cloud sea, field of clouds, sea of clouds",雲海
Kumoi no Kari,雲居雁
Ungo-ji Temple,雲居寺
Kumohara-mura,雲原村
Ungan-ji Temple,雲厳寺
The story of talking about souls and scene of clouds to promise long-lasting relationship.,雲魂雲情を語つて久しきを誓ふ話
"Unzankaku (Haiden, a hall of worship)",雲山閣（拝殿）
kumo-gami (a type of torinoko which has blue cloud patterns in the upper part and purple ones in the lower part),雲紙
kumogami manuscripts of Wakanroei-shu (Sannomaru Shozokan),雲紙本和漢朗詠集（三の丸尚蔵館蔵）
Unsho-in,雲照院
Unsho-ji Temple,雲照寺
Unsho-in Temple,雲祥院
Priest Ikkei UNSHO,雲章一慶
Unjo meikan (the books giving a detailed view of the Imperial family and its offshoots,雲上明鑑
Unden Shinto,雲神神道
Unsui,雲水
Hibarigaoka-hanayashiki Station,雲雀丘花屋敷 (駅)
Unshoji Dohachi,雲正寺道八
Unta (Izumo taisha-Shrine as 1st),雲太
Unkoku Togan,雲谷等顔(うんこくとうがん)
"Unchoin, Sokoku-ji Temple Tower",雲頂院（相国寺塔頭）
cloud-patterned torinoko paper,雲鳥の子紙
unkaku-mon (a pattern consisting of clouds and cranes),雲鶴紋
a world of difference,雲泥の差
Unden Shinto,雲伝神道
"Unpaku (Izumo, Hoki) provincial boarder area",雲伯国境地域
Unpen Shonin,雲遍上人
mica,雲母
Kirara-bashi Bridge,雲母橋
(glittering) mica dust,雲母砂子（きらすなご）
Kirarazaka Slope,雲母坂
cloud patterns,雲紋
Unmonan,雲門庵
Unmon-ji Temple,雲門寺
Unmon sect,雲門宗
kumo-tatsuwaku (mountain-shaped curves with clouds,雲立涌
Unryu-zu,雲竜図
Unryu class aircraft carrier,雲龍 (空母)型空母
Unryu-in Temple,雲龍院
Unryu-zu (Dragon in Clouds),雲龍図
Urin-in Temple,雲林院
cloud-patterned paper for folding screens,雲屏風紙
Yungang Grottoes,雲崗石窟
Eiku,叡空
Eizan,叡山
